title,clean_title
Improved baselines with visual instruction tuning,improved baseline visual instruction tuning
Scaling instruction-finetuned language models,scaling instructionfinetuned language model
Accurate structure prediction of biomolecular interactions with AlphaFold 3,accurate structure prediction biomolecular interaction alphafold
A survey on evaluation of large language models,survey evaluation large language model
Psikologi belajar,psikologi belajar
Non-cooperative games,noncooperative game
"Methods of mathematical physics, volume 2",method mathematical physic volume
"The Fourth Industrial Revolution: what it means, how to respond1",fourth industrial revolution mean respond
Obese and overweight,obese overweight
Nonlinear oscillations,nonlinear oscillation
The society of the spectacle,society spectacle
Wireless communications: principles and practice,wireless communication principle practice
The gift: The form and reason for exchange in archaic societies,gift form reason exchange archaic society
Art as experience,art experience
Balanis' Advanced Engineering Electromagnetics,balanis advanced engineering electromagnetics
Geotechnical earthquake engineering,geotechnical earthquake engineering
The pure theory of public expenditure,pure theory public expenditure
"Capital: Critique of Political Economy, Volume 1",capital critique political economy volume
A Discourse,discourse
Health measurement scales: a practical guide to their development and use,health measurement scale practical guide development use
Powers of horror: An essay on abjection,power horror essay abjection
Models of teaching,model teaching
Navier–Stokes equations: theory and numerical analysis,navier–stokes equation theory numerical analysis
Ideology and ideological state apparatuses: Notes towards an investigation,ideology ideological state apparatus note towards investigation
Cognitive therapy of depression,cognitive therapy depression
Social capital: Its origins and applications in modern sociology,social capital origin application modern sociology
Friction: An ethnography of global connection,friction ethnography global connection
Interpreting qualitative data,interpreting qualitative data
Thematic analysis,thematic analysis
Critique of pure reason,critique pure reason
Critique of judgment,critique judgment
Multivariate analysis,multivariate analysis
Denial of death,denial death
Administração de marketing,administração de marketing
"Epistemology of the closet, Updated with a new preface",epistemology closet updated new preface
Democracy and education,democracy education
Stability in Competition1,stability competition
Statistical inference,statistical inference
Discovering statistics using IBM SPSS statistics,discovering statistic using ibm spss statistic
Curso de linguística geral,curso de linguística geral
Vigiar e punir: nascimento da prisão,vigiar e punir nascimento da prisão
Discurso sobre el método,discurso sobre el método
"Educational research: Quantitative, qualitative, and mixed approaches",educational research quantitative qualitative mixed approach
"Qualitative research methods: Collecting evidence, crafting analysis, communicating impact",qualitative research method collecting evidence crafting analysis communicating impact
Alice in wonderland,alice wonderland
Formal concept analysis: mathematical foundations,formal concept analysis mathematical foundation
Perturbation methods,perturbation method
Minimal information for studies of extracellular vesicles (MISEV2023): From basic to advanced approaches,minimal information study extracellular vesicle misev basic advanced approach
A treatise on money: the pure theory of money,treatise money pure theory money
Molekularbiologie der Zelle,molekularbiologie der zelle
Existence of an equilibrium for a competitive economy,existence equilibrium competitive economy
Manajemen sumber daya manusia,manajemen sumber daya manusia
La riqueza de las naciones,la riqueza de la naciones
Chatting and cheating: Ensuring academic integrity in the era of ChatGPT,chatting cheating ensuring academic integrity era chatgpt
Психология переживания,психология переживания
Metaphysics of morals,metaphysics moral
Theses on feuerbach,thesis feuerbach
Analysis and design of analog integrated circuits,analysis design analog integrated circuit
Segment anything in medical images,segment anything medical image
Ionization in the field of a strong electromagnetic wave,ionization field strong electromagnetic wave
Revolution in poetic language,revolution poetic language
Grounding dino: Marrying dino with grounded pre-training for open-set object detection,grounding dino marrying dino grounded pretraining openset object detection
Radiative processes in astrophysics,radiative process astrophysics
